results_atm.txt
# ------------------------------------------------------------------------
# Atmospheric radiances synthesized with PUMAS (Villanueva et al. 2018, Smith et al. 2009, Edwards 1992)
# Molecular abundance atmprofile: TRAPPIST-1 e-CU Boulder GCM (Eric Wolf)
# Molecules considered: N2,CO2,H2O
# Molecular sources: HIT[22],HIT[2],HIT[1]
# Molecular abundances: 1,1,1
# Molecular abundance units: scl,scl,scl
# Collission-Induced-Absorption:  N2-N2(18.05-500000.00um) N2-N2(3.33-5.41um)
# ------------------------------------------------------------------------
# Wave/freq TRAPPIST-1-e Transit Planet
5.000000000e+00 -1.48864e-05 -1.48864e-05  2.03209e-11
5.002083333e+00 -1.49519e-05 -1.49519e-05  2.78179e-11
5.004167535e+00 -1.57875e-05 -1.57875e-05  1.89640e-11
5.006252605e+00 -1.64066e-05 -1.64066e-05  1.82337e-11
5.008338543e+00 -1.58458e-05 -1.58458e-05  1.98777e-11
5.010425351e+00 -1.57443e-05 -1.57443e-05  2.01647e-11
5.012513028e+00 -1.43474e-05 -1.43474e-05  1.80884e-11
5.014601575e+00 -1.52669e-05 -1.52670e-05  1.75376e-11
5.016690992e+00 -1.52656e-05 -1.52656e-05  2.64875e-11
5.018781280e+00 -1.42871e-05 -1.42871e-05  3.64641e-11
5.020872439e+00 -1.43622e-05 -1.43622e-05  4.13936e-11
5.022964469e+00 -1.53201e-05 -1.53201e-05  1.32237e-11
5.025057371e+00 -1.41568e-05 -1.41568e-05  1.82933e-11
5.027151145e+00 -1.42355e-05 -1.42355e-05  1.64775e-11
5.029245792e+00 -1.45016e-05 -1.45016e-05  2.97939e-11
5.031341311e+00 -1.55118e-05 -1.55118e-05  1.85313e-11
5.033437703e+00 -1.47845e-05 -1.47845e-05  1.98755e-11
5.035534969e+00 -1.55928e-05 -1.55928e-05  1.51613e-11
5.037633108e+00 -1.57943e-05 -1.57943e-05  2.03565e-11
5.039732122e+00 -1.36465e-05 -1.36465e-05  1.49712e-11
5.041832010e+00 -1.52212e-05 -1.52212e-05  2.10211e-11
